text,emotion
Aced my final exam today and honestly living my best life today #blessed,joy
I'm seething about it because the meeting could have been an email. 🤬,anger
Can we talk about how failed my driving test? feeling pretty low today 💔,sadness
"Not going to lie, my mom sent me a care package and feeling so grateful and loved ❤️",love
Feeling pretty low today because didn't get the internship. 💔 #heartbroken,sadness
So annoyed I could scream. Customer service hung up on me twice. #overit,anger
I can't stop feeling blue because my childhood pet passed away. 😔 #sad,sadness
"Not going to lie, getting a handwritten letter from an old friend and this warms my heart every time 😍",love
So got tickets to the concert... I am so happy right now 😁 #grateful,joy
Finally finished my degree today and honestly pure happiness right here #goodvibes,joy
So my best friend is moving away... it's making me tear up 😞 #notokay,sadness
Just rewatching our wedding video and this warms my heart every time ❤️ #blessed,love
Can we talk about how there's a huge spider in my room? this is freaking me out 😬,fear
So aced my final exam... best day ever honestly 😁 #blessed,joy
I got an email saying my rent is dropping today and honestly I still can't believe it #shocked,surprise
So found $20 in my old jacket... pure happiness right here 🙌 #happy,joy
Can we talk about how the plane hit turbulence out of nowhere? my heart is racing,fear
So my sister remembered my favorite snack... this is what love looks like ❤️ #love,love
Living my best life today. Got the job offer. #blessed,joy
I am absolutely furious because my order arrived completely broken. 🤬 #done,anger
I've had it with this because my order arrived completely broken. 😡 #done,anger
My hands won't stop shaking. The storm warning just got upgraded.,fear
The power went out during the thunderstorm today and honestly I'm terrified honestly #nervous,fear
Pure happiness right here. Just tried the best pizza ever. #grateful,joy
Can we talk about how watching my dog get excited when I come home? this warms my heart every time 🤗,love
Can we talk about how the store had my exact size in stock? no way this actually happened 😮,surprise
The internet has been down all day today and honestly this is so frustrating #done,anger
Just my exam results come out tomorrow and feeling really anxious right now,fear
My childhood pet passed away today and honestly this really broke my heart #sad,sadness
Can we talk about how missed my grandma's birthday call? I could really use a hug right now 💔,sadness
So my phone screen shattered... just feels like a gloomy day 😔 #sad,sadness
My order arrived completely broken today and honestly so annoyed I could scream,anger
"Not going to lie, I found out my coworker used to be a pro athlete and I'm completely shocked 😲",surprise
I have to speak in front of the whole company today and honestly I'm so nervous about it,fear
I'm speechless right now. My package arrived two weeks early. #wow,surprise
Just booked my dream vacation and I can't stop smiling 🎉 #goodvibes,joy
My heart is so full. My grandparents' 50th anniversary. #blessed,love
So got tickets to the concert... best day ever honestly 🎉 #happy,joy
So my sister remembered my favorite snack... my heart is so full 🥰 #grateful,love
This is what love looks like because spent the whole day with my partner. ❤️ #blessed,love
"Not going to lie, lost my favorite necklace and I could really use a hug right now 😔",sadness
Someone parked in my spot again today and honestly I've had it with this #done,anger
Can we talk about how my landlord ignored my messages for weeks? I've had it with this,anger
Just my grandparents' 50th anniversary and my heart could burst 🤗 #love,love
My hands won't stop shaking. My exam results come out tomorrow.,fear
Just rewatching our wedding video and this is what love looks like 🥰,love
Feeling absolutely thrilled because just adopted a puppy. 😄,joy
"Not going to lie, I heard a strange noise downstairs and I'm scared out of my mind 😬",fear
My friends threw me a surprise party today and honestly wow I was not expecting this #wow,surprise
Just failed my driving test and I'm heartbroken honestly 😔,sadness
I'm seething about it. My package was marked delivered but never came. #furious,anger
Just my partner cooked my favorite meal and I cherish moments like this ❤️ #grateful,love
I feel so down about it because my childhood pet passed away. 😢,sadness
Just just tried the best pizza ever and I am so happy right now 🎉 #blessed,joy
"Not going to lie, my exam results come out tomorrow and my heart is racing",fear
"Not going to lie, my plant finally bloomed and living my best life today 😁",joy
So my partner cooked my favorite meal... my heart could burst 🥰,love
Just my order arrived completely broken and I've had it with this 🤬,anger
Just tried the best pizza ever today and honestly living my best life today #grateful,joy
My friends threw me a surprise party today and honestly no way this actually happened,surprise
Just my sister remembered my favorite snack and this is what love looks like ❤️,love
Missed my grandma's birthday call today and honestly I'm heartbroken honestly,sadness
"Not going to lie, my phone screen shattered and I'm heartbroken honestly 😞",sadness
"Not going to lie, my quiet neighbor turned out to be a famous author and I'm completely shocked 😮",surprise
No way this actually happened. I got an email saying my rent is dropping. #wow,surprise
Just holding hands during the sunset walk and feeling so grateful and loved ❤️,love
Missed my grandma's birthday call today and honestly just feels like a gloomy day #heartbroken,sadness
So the store had my exact size in stock... wow I was not expecting this 😲 #nooway,surprise
I still can't believe it because I won a raffle I forgot I entered. 😲 #shocked,surprise
I can't shake this dread. I heard a strange noise downstairs. #nervous,fear
I can't shake this dread. I heard a strange noise downstairs. #scared,fear
"Not going to lie, I might lose my job in the next round of layoffs and this is freaking me out 😨",fear
So my phone battery lasted two full days... what a plot twist honestly 😳 #shocked,surprise
Just got the job offer and feeling absolutely thrilled 🎉 #blessed,joy
Failed my driving test today and honestly I'm heartbroken honestly #heartbroken,sadness
So the referee made an awful call... I'm seething about it 😡,anger
Just cuddling with my cat on a rainy day and I feel so loved right now 😍 #grateful,love
Feeling pretty low today. My childhood pet passed away. #sad,sadness
"Not going to lie, my plant finally bloomed and feeling absolutely thrilled 😁",joy
So finally finished my degree... pure happiness right here 😄,joy
"Not going to lie, someone parked in my spot again and I'm fuming right now 😤",anger
Just got tickets to the concert and I'm overjoyed 🎉 #blessed,joy
My package arrived two weeks early today and honestly this caught me totally off guard #nooway,surprise
"Not going to lie, my neighbor's music at 3am and this is completely unacceptable 😤",anger
This is so frustrating. The meeting could have been an email. #overit,anger
Can we talk about how got the job offer? this made my whole week 🎉,joy
"Not going to lie, I might lose my job in the next round of layoffs and I can't shake this dread 😰",fear
I adore this so much because my sister remembered my favorite snack. 🥰 #grateful,love
Just my landlord ignored my messages for weeks and I'm seething about it #furious,anger
"Not going to lie, I bumped into my old teacher at the airport and no way this actually happened 😮",surprise
"Not going to lie, it's been raining for a week straight and it's making me tear up 😔",sadness
"Not going to lie, I might lose my job in the next round of layoffs and I'm terrified honestly 😨",fear
"Not going to lie, my phone battery lasted two full days and I'm speechless right now 🤯",surprise
Best day ever honestly because my plant finally bloomed. 🎉 #blessed,joy
Can we talk about how my phone battery lasted two full days? I still can't believe it 🤯,surprise
Just traffic made me an hour late and I've had it with this 😡 #done,anger
"Not going to lie, traffic made me an hour late and I am absolutely furious 😡",anger
"Not going to lie, my friends drove three hours just to see me and this is what love looks like 🥰",love
Wow I was not expecting this. I found out my coworker used to be a pro athlete. #shocked,surprise
Just there's a huge spider in my room and I'm terrified honestly 😬,fear
Walking home alone in the dark today and honestly I'm scared out of my mind,fear
Just I might lose my job in the next round of layoffs and I can't shake this dread 😨,fear
"Not going to lie, finally finished my degree and feeling absolutely thrilled 😁",joy
Holding hands during the sunset walk today and honestly this warms my heart every time #grateful,love
"Not going to lie, the referee made an awful call and I'm seething about it 🤬",anger
Can we talk about how it's been raining for a week straight? just feels like a gloomy day 💔,sadness
My plant finally bloomed today and honestly this made my whole week,joy
"Not going to lie, I heard a strange noise downstairs and my heart is racing",fear
What a plot twist honestly because the store had my exact size in stock. 🤯 #wow,surprise
"Not going to lie, getting a handwritten letter from an old friend and my heart could burst 😍",love
"Not going to lie, I got an email saying my rent is dropping and I'm speechless right now 😳",surprise
The sun is out after a week of rain today and honestly feeling absolutely thrilled #blessed,joy
Just the referee made an awful call and I am absolutely furious,anger
"Not going to lie, lost my favorite necklace and I could really use a hug right now 💔",sadness
So cuddling with my cat on a rainy day... my heart could burst 🥰 #love,love
Just lost my favorite necklace and I can't stop feeling blue 😞 #sad,sadness
Best day ever honestly. My team won the championship. #happy,joy
Can we talk about how failed my driving test? I can't stop feeling blue 💔,sadness
So I have to speak in front of the whole company... I can't shake this dread 😨,fear
Just my best friend is visiting this weekend and pure happiness right here 😄 #blessed,joy
Can we talk about how prices went up again for no reason? this is completely unacceptable 😤,anger
Just missed my grandma's birthday call and I can't stop feeling blue 😔 #heartbroken,sadness
So my neighbor's music at 3am... makes my blood boil #overit,anger
Wow I was not expecting this. The sequel is actually better than the original.,surprise
Can we talk about how customer service hung up on me twice? I've had it with this,anger
Rewatching our wedding video today and honestly I cherish moments like this #love,love
Customer service hung up on me twice today and honestly so annoyed I could scream #furious,anger
Just forgot an important anniversary and just feels like a gloomy day 😢 #sad,sadness
"Not going to lie, the doctor wants to run more tests and I'm terrified honestly 😬",fear
Just my car started making a weird sound on the highway and this is freaking me out #nervous,fear
So lost my favorite necklace... feeling pretty low today 😞,sadness
I've had it with this because my order arrived completely broken. 🤬 #overit,anger
Just just adopted a puppy and I am so happy right now 😄 #goodvibes,joy
I still can't believe it. My phone battery lasted two full days. #wow,surprise
I can't stop feeling blue. The show got cancelled after one season.,sadness
Traffic made me an hour late today and honestly makes my blood boil #overit,anger
Wow I was not expecting this because my phone battery lasted two full days. 😳 #shocked,surprise
Just I bumped into my old teacher at the airport and I'm speechless right now 😮 #wow,surprise
So booked my dream vacation... I am so happy right now 🎉 #grateful,joy
Feeling really anxious right now because the plane hit turbulence out of nowhere. #scared,fear
Can we talk about how my mom sent me a care package? this is what love looks like 😍,love
So my exam results come out tomorrow... I'm so nervous about it 😨 #anxious,fear
This warms my heart every time. Cuddling with my cat on a rainy day.,love
I'm terrified honestly because I heard a strange noise downstairs. 😨 #nervous,fear
So the internet has been down all day... I've had it with this 😡 #furious,anger
Just the storm warning just got upgraded and I'm terrified honestly 😬 #scared,fear
Just the plane hit turbulence out of nowhere and I can't shake this dread 😨,fear
Can we talk about how booked my dream vacation? living my best life today 🎉,joy
Just I won a raffle I forgot I entered and I still can't believe it 😲 #wow,surprise
Just holding hands during the sunset walk and my heart is so full 🤗,love
So annoyed I could scream because my order arrived completely broken. 😡 #done,anger
"Not going to lie, lost my favorite necklace and feeling pretty low today 😞",sadness
My exam results come out tomorrow today and honestly my hands won't stop shaking #anxious,fear
Can we talk about how my phone battery lasted two full days? I'm completely shocked 😳,surprise
Can we talk about how my sister remembered my favorite snack? I feel so loved right now 🥰,love
Watching my dog get excited when I come home today and honestly my heart could burst #grateful,love
Can we talk about how my package was marked delivered but never came? this is completely unacceptable 🤬,anger
This warms my heart every time. Getting a handwritten letter from an old friend. #love,love
I feel so down about it. My flight got cancelled again.,sadness
I'm heartbroken honestly because my best friend is moving away. 😢 #notokay,sadness
Can we talk about how just adopted a puppy? this made my whole week 🙌,joy
Can we talk about how finally finished my degree? pure happiness right here 🙌,joy
So the weather forecast was actually right for once... what a plot twist honestly 😲 #shocked,surprise
I found out my coworker used to be a pro athlete today and honestly I'm speechless right now,surprise
Just I bumped into my old teacher at the airport and I'm speechless right now 😮,surprise
I can't stop feeling blue. Forgot an important anniversary. #notokay,sadness
Found $20 in my old jacket today and honestly I am so happy right now #goodvibes,joy
Can we talk about how the show got cancelled after one season? I can't stop feeling blue 😢,sadness
Can we talk about how forgot an important anniversary? I'm heartbroken honestly 💔,sadness
What a plot twist honestly. I bumped into my old teacher at the airport. #wow,surprise
"Not going to lie, my favorite band announced a tour and I can't stop smiling 🙌",joy
So customer service hung up on me twice... makes my blood boil #done,anger
Just the referee made an awful call and so annoyed I could scream 😡 #overit,anger
Can we talk about how failed my driving test? I'm heartbroken honestly 😔,sadness
Just the doctor wants to run more tests and I'm scared out of my mind 😰,fear
Just cuddling with my cat on a rainy day and this is what love looks like 🥰 #grateful,love
"Not going to lie, my sister remembered my favorite snack and this warms my heart every time 🥰",love
Just my friends drove three hours just to see me and feeling so grateful and loved 🥰 #love,love
Just my friends threw me a surprise party and I'm speechless right now 😮 #shocked,surprise
The plane hit turbulence out of nowhere today and honestly I'm scared out of my mind #scared,fear
"Not going to lie, my best friend is moving away and it's making me tear up 💔",sadness
There's a huge spider in my room today and honestly I'm scared out of my mind #scared,fear
Can we talk about how the storm warning just got upgraded? this is freaking me out 😬,fear
Just my quiet neighbor turned out to be a famous author and I'm completely shocked 😲 #shocked,surprise
Can we talk about how the sun is out after a week of rain? I'm overjoyed 🙌,joy
"Not going to lie, I got an email saying my rent is dropping and this caught me totally off guard 🤯",surprise
Can we talk about how the weather forecast was actually right for once? this caught me totally off guard 🤯,surprise
So my team won the championship... pure happiness right here 😄 #grateful,joy
I feel so down about it because my phone screen shattered. 😢,sadness
This is so frustrating because my order arrived completely broken. 😡 #furious,anger
"Not going to lie, my best friend is moving away and it's making me tear up 😞",sadness
Feeling really anxious right now. I have to speak in front of the whole company. #anxious,fear
So my friends drove three hours just to see me... this warms my heart every time 🤗,love
So my plant finally bloomed... I can't stop smiling 😄,joy
My friends drove three hours just to see me today and honestly I adore this so much #blessed,love
Can we talk about how my car started making a weird sound on the highway? I can't shake this dread 😰,fear
Can we talk about how my flight got delayed for the third time? I've had it with this,anger
"Not going to lie, the power went out during the thunderstorm and I'm so nervous about it 😰",fear
"Not going to lie, prices went up again for no reason and this is so frustrating 🤬",anger
Can we talk about how my quiet neighbor turned out to be a famous author? I still can't believe it 😮,surprise
Can we talk about how prices went up again for no reason? this is so frustrating 😡,anger
Just rewatching our wedding video and this warms my heart every time 😍 #blessed,love
So the weather forecast was actually right for once... I'm completely shocked 🤯,surprise
Can we talk about how my team won the championship? feeling absolutely thrilled 🎉,joy
Just my exam results come out tomorrow and I'm terrified honestly #nervous,fear
"Not going to lie, didn't get the internship and feeling pretty low today 😔",sadness
My landlord ignored my messages for weeks today and honestly I've had it with this #done,anger
I can't stop smiling. Finally finished my degree. #grateful,joy
Living my best life today because booked my dream vacation. 🎉,joy
"Not going to lie, just adopted a puppy and best day ever honestly 😄",joy
Pure happiness right here because my best friend is visiting this weekend. 😁 #happy,joy
So my flight got delayed for the third time... I'm fuming right now,anger
So missed my grandma's birthday call... this really broke my heart 😔 #heartbroken,sadness
I'm completely shocked because I found out my coworker used to be a pro athlete. 😳 #shocked,surprise
I'm heartbroken honestly. Failed my driving test.,sadness
"Not going to lie, my mom sent me a care package and my heart could burst 😍",love
Living my best life today because just adopted a puppy. 🎉 #grateful,joy
So my package arrived two weeks early... this caught me totally off guard 😳 #wow,surprise
The plot twist in that finale today and honestly I did not see that coming #shocked,surprise
Can we talk about how my sister remembered my favorite snack? I adore this so much 😍,love
"Not going to lie, my flight got delayed for the third time and makes my blood boil 😡",anger
Just cuddling with my cat on a rainy day and I feel so loved right now 🤗 #blessed,love
Just feels like a gloomy day because forgot an important anniversary. 😔,sadness
Just traffic made me an hour late and this is completely unacceptable #done,anger
I'm overjoyed because got tickets to the concert. 😄,joy
So my landlord ignored my messages for weeks... so annoyed I could scream 😤,anger
So the weather forecast was actually right for once... what a plot twist honestly 😮 #nooway,surprise
So getting a handwritten letter from an old friend... my heart is so full ❤️,love
Just didn't get the internship and feeling pretty low today 😔,sadness
My package was marked delivered but never came today and honestly makes my blood boil #overit,anger
Didn't get the internship today and honestly just feels like a gloomy day #notokay,sadness
So missed my grandma's birthday call... I'm heartbroken honestly 😢 #sad,sadness
Someone parked in my spot again today and honestly I am absolutely furious #done,anger
So forgot an important anniversary... I'm heartbroken honestly 😔 #heartbroken,sadness
Just my friends threw me a surprise party and wow I was not expecting this 😳,surprise
Just lost my favorite necklace and I feel so down about it 😔 #sad,sadness
Just just tried the best pizza ever and best day ever honestly 🎉,joy
I'm completely shocked. The sequel is actually better than the original. #nooway,surprise
I have a big presentation tomorrow today and honestly I'm so nervous about it,fear
Can we talk about how my friends drove three hours just to see me? my heart could burst 🤗,love
I feel so down about it because missed my grandma's birthday call. 😞 #notokay,sadness
So my friends drove three hours just to see me... my heart is so full 😍 #love,love
Just a random stranger paid for my coffee and I adore this so much 😍 #love,love
It's making me tear up because lost my favorite necklace. 😞 #notokay,sadness
Can we talk about how prices went up again for no reason? I've had it with this,anger
So the plot twist in that finale... I'm speechless right now 🤯 #wow,surprise
I heard a strange noise downstairs today and honestly feeling really anxious right now #scared,fear
"Not going to lie, walking home alone in the dark and I'm scared out of my mind 😰",fear
A random stranger paid for my coffee today and honestly my heart could burst #grateful,love
I'm seething about it because prices went up again for no reason. 😤 #furious,anger
So missed my grandma's birthday call... it's making me tear up 😞 #heartbroken,sadness
Feeling so grateful and loved because my mom sent me a care package. 😍,love
Can we talk about how I bumped into my old teacher at the airport? I still can't believe it 😮,surprise
Can we talk about how the storm warning just got upgraded? this is freaking me out 😰,fear
Can we talk about how walking home alone in the dark? this is freaking me out,fear
Can we talk about how my phone battery lasted two full days? I still can't believe it 😮,surprise
I'm completely shocked. The store had my exact size in stock. #nooway,surprise
My exam results come out tomorrow today and honestly I'm terrified honestly #nervous,fear
I've had it with this. Prices went up again for no reason. #overit,anger
This is what love looks like. My grandparents' 50th anniversary.,love
So spent the whole day with my partner... this warms my heart every time 🤗 #blessed,love
So cuddling with my cat on a rainy day... I cherish moments like this 🥰 #grateful,love
"Not going to lie, the show got cancelled after one season and feeling pretty low today 😢",sadness
This caught me totally off guard. I bumped into my old teacher at the airport.,surprise
I'm terrified honestly because the power went out during the thunderstorm. 😬 #scared,fear
I have a big presentation tomorrow today and honestly this is freaking me out #nervous,fear
"Not going to lie, my friends threw me a surprise party and no way this actually happened 🤯",surprise
I still can't believe it because I bumped into my old teacher at the airport. 🤯 #wow,surprise
Can we talk about how I have a big presentation tomorrow? my hands won't stop shaking 😨,fear
So the sun is out after a week of rain... I'm overjoyed 🎉 #goodvibes,joy
This caught me totally off guard because my phone battery lasted two full days. 😮,surprise
The referee made an awful call today and honestly I've had it with this #overit,anger
Feeling pretty low today. My childhood pet passed away.,sadness
My childhood pet passed away today and honestly I could really use a hug right now #heartbroken,sadness
My childhood pet passed away today and honestly feeling pretty low today #notokay,sadness
Can we talk about how my best friend is moving away? just feels like a gloomy day 😔,sadness
No way this actually happened because my package arrived two weeks early. 😲 #nooway,surprise
My car started making a weird sound on the highway today and honestly this is freaking me out,fear
"Not going to lie, failed my driving test and this really broke my heart 😞",sadness
My grandparents' 50th anniversary today and honestly this warms my heart every time #love,love
So the show got cancelled after one season... it's making me tear up 💔,sadness
My neighbor's music at 3am today and honestly I'm fuming right now #overit,anger
Just my order arrived completely broken and I'm seething about it 😤 #overit,anger
Can we talk about how the weather forecast was actually right for once? I did not see that coming 😮,surprise
The weather forecast was actually right for once today and honestly no way this actually happened,surprise
My best friend is visiting this weekend today and honestly this made my whole week #grateful,joy
Just someone parked in my spot again and so annoyed I could scream 😤 #overit,anger
Getting a handwritten letter from an old friend today and honestly I adore this so much #blessed,love
"Not going to lie, customer service hung up on me twice and I've had it with this",anger
So my sister remembered my favorite snack... my heart is so full 😍,love
Can we talk about how my favorite band announced a tour? I'm overjoyed 🙌,joy
This is freaking me out because the storm warning just got upgraded. #anxious,fear
So my flight got cancelled again... just feels like a gloomy day 😢 #heartbroken,sadness
Just I have a big presentation tomorrow and my hands won't stop shaking #nervous,fear
So finally finished my degree... feeling absolutely thrilled 🎉 #blessed,joy
I'm heartbroken honestly. Didn't get the internship. #notokay,sadness
